RX,RY,RZ,TX,TY,TZ
0.571352,-1.46156,-1.80809,20.1734,-1600.47,1712.61
0.556708,-1.47803,-1.81613,21.1937,-1598,1712.56
0.551972,-1.47859,-1.8322,22.1027,-1595.89,1712.16
0.537508,-1.48716,-1.84581,23.0688,-1593.49,1712.03
0.523173,-1.49417,-1.85949,23.9715,-1590.99,1711.88
0.512324,-1.50223,-1.87084,24.8648,-1588.44,1711.63
0.501028,-1.51295,-1.88466,25.6815,-1585.79,1711.34
0.501935,-1.49567,-1.88989,27.0818,-1584.38,1710.87
0.49225,-1.51844,-1.89959,27.8947,-1581.79,1710.52
0.480054,-1.52458,-1.9103,28.8171,-1579.37,1710.29
0.476882,-1.51943,-1.91725,29.9772,-1577.39,1709.95
0.466011,-1.54094,-1.92759,30.7034,-1574.77,1709.56
0.456046,-1.5482,-1.93828,31.6497,-1572.41,1709.22
0.448518,-1.55558,-1.94744,32.6232,-1570.1,1708.93
0.437604,-1.56104,-1.95835,33.505,-1567.72,1708.69
0.431057,-1.57008,-1.9648,34.4648,-1565.44,1708.32
0.422706,-1.5776,-1.97207,35.3734,-1563.12,1708
0.410947,-1.58506,-1.98121,36.2328,-1560.72,1707.73
0.406077,-1.59223,-1.98703,37.1593,-1558.44,1707.29
0.393741,-1.60402,-1.99191,37.9999,-1555.96,1707.06
0.39039,-1.60441,-2.00096,38.8848,-1553.68,1706.56
0.378724,-1.61867,-2.00329,39.6884,-1551.24,1706.26
0.375646,-1.61832,-2.01146,40.5318,-1548.94,1705.72
0.370236,-1.62544,-2.01512,41.367,-1546.52,1705.27
0.362271,-1.63072,-2.02114,42.1722,-1543.96,1704.76
0.35789,-1.63896,-2.0207,43.0052,-1541.48,1704.17
0.343742,-1.65735,-2.01647,43.8679,-1538.65,1703.83
0.341309,-1.66373,-2.01934,44.7217,-1536.18,1703.19
0.340764,-1.66143,-2.0292,45.4401,-1533.77,1702.4
0.329246,-1.68156,-2.02307,46.2682,-1531.06,1701.87
0.322974,-1.68586,-2.02655,47.0258,-1528.59,1701.25
0.320119,-1.69277,-2.02574,47.7471,-1526.05,1700.55
0.315462,-1.69782,-2.02729,48.4678,-1523.44,1699.81
0.310368,-1.70372,-2.02824,49.1154,-1520.77,1699.03
0.289619,-1.68485,-2.06303,49.8554,-1519.49,1697.91
0.283952,-1.69389,-2.06075,50.4963,-1516.96,1697.22
0.281825,-1.70138,-2.05973,51.0494,-1514.3,1696.43
0.279446,-1.70574,-2.05756,51.5818,-1511.87,1695.6
0.266039,-1.72667,-2.04861,52.0908,-1509.19,1695.03
0.265677,-1.73383,-2.04623,52.5143,-1506.84,1694.24
0.265307,-1.74028,-2.0418,52.8724,-1504.5,1693.57
0.263734,-1.74565,-2.03798,53.1598,-1502.39,1692.85
0.270491,-1.71085,-2.06119,53.5307,-1501.22,1692.13
0.270965,-1.71704,-2.05834,53.6328,-1499.29,1691.37
0.26956,-1.71965,-2.05727,53.7495,-1497.45,1690.6
0.266739,-1.72115,-2.0579,53.6762,-1495.64,1689.78
0.269503,-1.72456,-2.05361,53.5711,-1493.97,1689.08
0.269522,-1.72674,-2.05159,53.3652,-1492.42,1688.42
0.271087,-1.72938,-2.04884,53.0064,-1491.02,1687.81
0.273234,-1.72953,-2.04601,52.5628,-1489.72,1687.27
0.274798,-1.72791,-2.04465,51.9676,-1488.52,1686.75
0.277671,-1.72778,-2.04176,51.2574,-1487.44,1686.29
0.272652,-1.76035,-2.01687,50.3034,-1485.73,1685.87
0.286522,-1.72598,-2.03103,49.5079,-1485.74,1685.47
0.287575,-1.74298,-2.01743,48.3253,-1484.67,1684.96
0.282433,-1.75134,-2.00976,47.2305,-1484.06,1684.83
0.283279,-1.74702,-2.00982,45.9772,-1483.75,1684.5
0.289739,-1.74542,-2.00278,44.6579,-1483.6,1684.2
0.286824,-1.74501,-1.99977,43.1274,-1483.39,1684.02
0.297153,-1.73753,-1.99645,41.6238,-1483.59,1683.66
0.332309,-1.7415,-1.95991,39.8992,-1482.93,1683.58
0.337512,-1.73757,-1.95724,38.1162,-1483.18,1683.38
0.344031,-1.73452,-1.95043,36.2294,-1483.65,1683.28
0.353732,-1.73058,-1.9442,34.3029,-1484.2,1683.02
0.359159,-1.72378,-1.94107,32.2422,-1484.86,1682.84
0.369078,-1.72169,-1.93094,30.1466,-1485.64,1682.74
0.37472,-1.71625,-1.92738,27.9127,-1486.57,1682.67
0.387852,-1.70187,-1.9292,25.5314,-1487.95,1682.41
0.399229,-1.69605,-1.91897,23.092,-1489.17,1682.4
0.403863,-1.70569,-1.90531,20.4397,-1490.28,1682.58
0.421096,-1.68582,-1.90025,17.9291,-1491.88,1682.47
0.427892,-1.68995,-1.88548,15.1934,-1493.34,1682.65
0.438971,-1.68678,-1.87578,12.4388,-1495.06,1682.68
0.456206,-1.67033,-1.87057,9.65957,-1496.98,1682.52
0.46538,-1.6765,-1.85365,6.75992,-1498.8,1682.66
0.48247,-1.65835,-1.84901,3.835,-1500.96,1682.59
0.50286,-1.62712,-1.84079,1.07514,-1503.51,1682.66
0.517534,-1.62138,-1.82859,-1.95222,-1505.82,1682.76
0.532672,-1.6113,-1.81653,-5.02327,-1508.31,1682.86
0.545844,-1.60965,-1.80357,-8.18396,-1510.69,1682.98
0.55941,-1.60226,-1.79271,-11.3979,-1513.21,1683.03
0.577365,-1.58448,-1.7858,-14.6833,-1515.53,1683.17
0.592276,-1.56793,-1.7694,-17.7595,-1518.69,1683.34
0.60347,-1.56271,-1.75661,-21.0987,-1521.63,1683.41
0.62051,-1.54078,-1.74614,-24.2469,-1524.95,1683.36
0.629187,-1.54713,-1.73288,-27.7826,-1527.54,1683.44
0.639093,-1.53742,-1.72771,-31.219,-1530.4,1683.49
0.645762,-1.54653,-1.70438,-34.6629,-1533.3,1683.77
0.660526,-1.53408,-1.69402,-37.9827,-1536.55,1683.72
0.678242,-1.51551,-1.68167,-41.1609,-1540.11,1683.63
0.701647,-1.50738,-1.65875,-44.345,-1543.71,1683.65
0.714058,-1.49213,-1.65239,-47.617,-1547.3,1683.47
0.721187,-1.48631,-1.64387,-50.8908,-1550.39,1683.33
0.72866,-1.4768,-1.637,-54.1415,-1553.81,1683.14
0.738353,-1.46622,-1.62783,-57.3756,-1557.26,1682.95
0.747306,-1.45232,-1.62278,-60.5142,-1560.78,1682.7
0.771057,-1.44568,-1.60235,-63.4326,-1564.67,1682.45
0.784003,-1.43737,-1.58707,-66.3605,-1568.52,1682.12
0.796817,-1.42815,-1.57297,-69.2615,-1572.41,1681.87
0.810909,-1.41916,-1.55848,-72.1146,-1576.3,1681.59
0.822382,-1.40909,-1.5458,-74.8937,-1580.29,1681.32
0.836525,-1.40009,-1.53007,-77.5544,-1584.32,1681.06
0.851292,-1.39107,-1.51327,-80.1557,-1588.38,1680.83
0.861155,-1.37937,-1.5019,-82.8312,-1592.56,1680.56
0.874465,-1.36962,-1.4874,-85.3209,-1596.73,1680.32
0.88551,-1.35794,-1.47503,-87.7432,-1600.92,1680.1
0.897611,-1.34768,-1.46203,-90.0377,-1605.14,1679.85
0.910891,-1.33711,-1.44979,-92.2326,-1609.34,1679.59
0.924989,-1.32693,-1.43664,-94.3492,-1613.6,1679.34
0.935404,-1.31471,-1.42689,-96.4368,-1617.89,1679.13
0.944891,-1.30293,-1.41766,-98.4424,-1622.2,1678.9
0.95507,-1.29188,-1.40825,-100.361,-1626.47,1678.65
0.96731,-1.28044,-1.39762,-102.228,-1630.79,1678.4
0.982651,-1.2732,-1.38555,-103.806,-1635.04,1678.14
0.993187,-1.26355,-1.37679,-105.415,-1639.32,1677.91
1.00078,-1.25293,-1.3694,-107.012,-1643.59,1677.71
1.01107,-1.24308,-1.36303,-108.407,-1647.88,1677.56
1.02148,-1.23265,-1.35511,-109.791,-1652.13,1677.39
1.03071,-1.22289,-1.34562,-111.186,-1656.35,1677.25
1.03747,-1.21279,-1.3399,-112.474,-1660.6,1677.14
1.04324,-1.20247,-1.33698,-113.582,-1664.86,1677.05
1.05421,-1.19296,-1.32482,-114.704,-1668.96,1676.88
1.06313,-1.1835,-1.31867,-115.791,-1673.13,1676.62
1.07266,-1.17563,-1.31197,-116.73,-1677.25,1676.43
1.07773,-1.16293,-1.31006,-117.646,-1681.47,1676.31
1.0862,-1.15577,-1.3045,-118.44,-1685.56,1676.17
1.09607,-1.14713,-1.29505,-119.319,-1689.56,1675.94
1.09043,-1.13461,-1.30327,-119.74,-1693.83,1675.66
1.0969,-1.12925,-1.29715,-120.466,-1697.87,1675.51
1.11572,-1.12307,-1.27888,-121.014,-1701.68,1675.12
1.1318,-1.11794,-1.26544,-121.728,-1705.41,1674.94
1.13651,-1.11047,-1.26355,-122.25,-1709.28,1674.72
1.14068,-1.10471,-1.25704,-122.724,-1712.98,1674.47
1.14766,-1.10024,-1.25639,-123.174,-1716.71,1674.22
1.14256,-1.09301,-1.25814,-123.47,-1720.36,1673.86
1.14907,-1.08925,-1.25918,-123.803,-1723.94,1673.59
1.14917,-1.08225,-1.26212,-124.086,-1727.48,1673.3
1.15407,-1.07691,-1.25997,-124.393,-1730.83,1673.05
1.15855,-1.07436,-1.2598,-124.662,-1734.15,1672.79
1.16289,-1.06988,-1.25714,-124.846,-1737.37,1672.56
1.16816,-1.06751,-1.25765,-125.001,-1740.54,1672.28
1.17162,-1.06251,-1.25661,-125.197,-1743.63,1672.09
1.17598,-1.06002,-1.25411,-125.256,-1746.65,1671.97
1.18057,-1.05583,-1.25455,-125.381,-1749.53,1671.78
1.18423,-1.05324,-1.25285,-125.41,-1752.33,1671.68
1.18906,-1.04956,-1.25232,-125.474,-1754.97,1671.45
1.19269,-1.0488,-1.25371,-125.407,-1757.56,1671.37
1.19288,-1.04408,-1.25167,-125.467,-1759.92,1671.3
1.20279,-1.04206,-1.24992,-125.317,-1762.08,1671.16
1.20503,-1.04006,-1.25071,-125.322,-1764.13,1671.07
1.20841,-1.03821,-1.24962,-125.259,-1765.98,1671.02
1.20985,-1.03801,-1.25316,-125.103,-1767.68,1671.05
1.21138,-1.0368,-1.25382,-125.058,-1769.06,1670.95
1.21197,-1.03646,-1.2562,-124.974,-1770.32,1670.92
1.21402,-1.04662,-1.2589,-124.619,-1771.55,1670.83
1.21451,-1.04185,-1.26287,-124.73,-1772.29,1670.83
1.21362,-1.04373,-1.26514,-124.718,-1772.87,1670.7
1.21358,-1.04667,-1.26829,-124.617,-1773.32,1670.6
1.21332,-1.04953,-1.27197,-124.525,-1773.59,1670.55
1.22243,-1.05416,-1.26638,-124.553,-1773.54,1670.46
1.22249,-1.05527,-1.27075,-124.488,-1773.49,1670.5
1.22347,-1.057,-1.27455,-124.414,-1773.25,1670.53
1.2241,-1.05486,-1.27934,-124.434,-1772.95,1670.64
1.22498,-1.05555,-1.28335,-124.362,-1772.43,1670.68
1.21887,-1.05907,-1.29317,-124.091,-1771.96,1670.7
1.22077,-1.05409,-1.29529,-124.216,-1771.17,1670.88
1.22153,-1.05339,-1.2986,-124.219,-1770.27,1670.95
1.22269,-1.05263,-1.30246,-124.239,-1769.24,1670.97
1.22469,-1.05275,-1.30746,-124.248,-1768.12,1671.05
1.22411,-1.05271,-1.30988,-124.39,-1766.75,1670.99
